usb_disabled   ehci_pci_init
dma_pool_create   ehci_mem_init
kzalloc   ehci_qh_alloc
dma_pool_alloc   ehci_qh_alloc
dma_pool_alloc   ehci_qtd_alloc
ehci_qtd_alloc   ehci_qh_alloc
ehci_qh_alloc   ehci_mem_init
dma_alloc_attrs   ehci_mem_init
kcalloc   ehci_mem_init
ehci_mem_init   ehci_init
ehci_init   ehci_setup
ehci_halt   ehci_setup
ehci_handshake   ehci_hub_control
ehci_qtd_alloc   qh_urb_transaction
qh_urb_transaction   ehci_urb_enqueue
usb_hcd_link_urb_to_ep   submit_async
ehci_qh_alloc   qh_make
qh_append_tds   submit_async
usb_hcd_check_unlink_urb   ehci_urb_dequeue
ehci_setup   ehci_pci_setup
pci_set_mwi   ehci_pci_reinit
****qh_completions   scan_async
****pci_find_capability   ehci_pci_setup
